,มหาวิทยาลัย,คณะ,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,อัตราการได้งานทำ,ค่ามัธยฐานเงินเดือน,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ละติจูด,ลองจิจูด
0,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมทั่วไป,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,Bachelor of Engineering Program,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,322,38,380,0,15.961105,98.8981375
1,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,50,0,65,0,15.961105,98.8981375
2,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,190,10,140,0,15.961105,98.8981375
3,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมเคมี,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Chemical and Process Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,40,10,0,0,15.961105,98.8981375
4,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมนิวเคลียร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,Bachelor of Engineering Program in Nuclear and Radiological Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,10,0,25,0,15.961105,98.8981375
5,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,10,0,0,0,15.961105,98.8981375
6,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสารสนเทศและการสื่อสาร (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Information and Communication Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,87,21,0,0,15.961105,98.8981375
7,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมยานยนต์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Automotive Design and Manufacturing Engineering (International Program),นานาชาติ,วิทยาเขตหลัก,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,45,18,0,0,15.961105,98.8981375
8,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมโยธา,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,Bachelor of Engineering Program in Civil Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,0,0,10,0,15.961105,98.8981375
9,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมวัสดุ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,Bachelor of Engineering Program in Metallurgical and Materials Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,0,0,35,0,15.961105,98.8981375
